id,name,level,type,muscleGroup,weightStepKg,imageUrl,isHazardous
1,"Приседания со штангой на спине",beginner,strength,legs,2.5,https://example.com/images/back-squat.jpg,false
2,"Жим штанги лёжа",beginner,strength,chest,2.5,https://example.com/images/bench-press.jpg,false
4,"Жим штанги стоя (армейский жим)",beginner,strength,shoulders,2.5,https://example.com/images/overhead-press.jpg,false
5,"Подтягивания",intermediate,strength,back,2.5,https://example.com/images/pull-up.jpg,false
6,"Тяга штанги в наклоне",intermediate,strength,back,2.5,https://example.com/images/barbell-row.jpg,false
7,"Тяга верхнего блока к груди",beginner,strength,back,2.5,https://example.com/images/lat-pulldown.jpg,false
8,"Жим гантелей на наклонной скамье",beginner,strength,chest,2,https://example.com/images/incline-db-press.jpg,false
9,"Разгибания рук на блоке (трицепс)",beginner,strength,arms,2.5,https://example.com/images/triceps-pushdown.jpg,false
10,"Сгибания рук со штангой (бицепс)",beginner,strength,arms,2.5,https://example.com/images/barbell-curl.jpg,false
11,"Жим ногами в тренажёре",beginner,strength,legs,5,https://example.com/images/leg-press.jpg,false
12,"Румынская тяга",intermediate,strength,legs,5,https://example.com/images/rdl.jpg,true
13,"Разгибания ног в тренажёре",beginner,strength,legs,5,https://example.com/images/leg-extension.jpg,false
14,"Сгибания ног в тренажёре",beginner,strength,legs,5,https://example.com/images/leg-curl.jpg,false
